siteid,female,male,other_sex,unknown_other_sex,00to02,03to05,06to11,12to17,18to25,26to49,50to69,70to79,80plus,other_age_group,unknown_other_age_group,american_indian,asian,black,hawaiian_pacific_islander,hispanic_latino,other,white,unknown_other_race
SITE116,69,209,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,278
SITE142,1249,1128,0,0,0,0,0,0,140,581,859,382,409,0,6,0,112,1171,0,269,114,706,119
SITE154,361,394,0,0,0,0,0,0,12,120,267,172,171,0,13,0,0,233,0,0,37,475,47
SITE157,243,256,0,-82,0,0,0,0,12,110,184,108,85,0,-82,3,0,256,0,0,240,0,158
SITE163,35,372,0,0,0,0,0,0,15,35,161,136,60,0,0,0,0,240,0,23,20,135,9
SITE200,15,329,0,0,0,0,0,0,0,28,129,125,62,0,0,0,0,233,0,17,0,99,-5
SITE209,504,1029,0,0,16,0,10,9,6,175,615,400,299,0,3,0,0,0,0,0,1533,0,1533
SITE214,0,121,0,4,0,0,0,0,0,10,46,41,28,0,0,0,0,72,0,0,0,49,4
SITE288,527,659,0,0,142,37,42,34,59,259,418,129,63,3,3,7,19,252,0,34,86,805,69
SITE295,30,43,0,0,0,0,0,0,0,21,31,11,8,0,2,0,0,20,0,22,0,37,-6
SITE376,0,92,0,5,0,0,0,0,0,13,28,25,31,0,0,0,0,20,0,12,0,57,8
SITE397,4010,5725,92,92,100,18,31,46,129,1600,3439,1828,2544,92,92,0,0,0,0,0,9827,0,9827
SITE432,0,75,0,9,0,0,0,0,0,0,20,35,26,0,3,0,0,0,0,0,0,66,18
SITE434,260,352,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,612
SITE455,0,101,0,5,0,0,0,0,0,0,34,47,18,0,7,0,0,21,0,0,0,75,10
SITE483,75,111,0,0,5,0,0,0,0,27,75,37,40,0,2,0,0,0,0,0,0,0,186
SITE510,186,239,0,0,0,0,0,0,16,105,151,62,82,0,9,0,36,35,0,0,154,198,156
SITE528,153,201,0,0,6,0,0,5,5,48,147,61,80,0,2,0,0,0,0,0,354,0,354
SITE533,46,428,0,0,0,0,0,0,0,35,209,146,83,0,1,0,0,240,0,0,66,164,70
SITE546,0,84,0,7,0,0,0,0,0,0,40,36,10,0,5,0,0,54,0,0,0,32,5
SITE561,226,261,10,10,0,0,0,0,20,112,210,70,60,10,25,0,18,124,0,152,24,187,16
SITE599,100,100,0,0,0,0,0,0,0,53,78,36,25,0,8,0,0,79,0,40,25,53,28
SITE607,1072,1297,0,0,10,0,11,0,40,498,854,399,553,0,4,0,0,0,0,0,0,0,2369
SITE622,0,133,0,4,0,0,0,0,0,0,51,58,19,0,9,0,0,75,0,0,0,56,6
SITE711,64,63,0,0,0,0,0,0,0,23,48,35,16,0,5,0,0,97,0,0,0,27,3
SITE712,48,65,0,0,0,0,0,4,1,26,48,24,10,0,0,0,1,27,0,529,5,79,-523
SITE719,14,169,0,0,0,0,0,0,0,17,82,54,30,0,0,0,0,132,0,0,13,36,15
SITE734,1478,1704,0,0,0,0,0,13,80,718,1162,545,643,0,21,20,120,561,0,91,796,1569,821
SITE762,0,114,0,6,0,0,0,0,0,0,49,44,19,0,8,0,0,70,0,0,0,45,5
SITE775,24,184,0,0,0,0,0,0,0,47,76,56,29,0,0,0,0,70,0,54,20,100,-16
SITE798,1124,1181,0,0,4,0,2,2,97,664,915,318,303,0,0,1,88,440,9,0,399,1368,399
SITE812,125,137,0,0,0,0,0,1,1,15,71,77,97,0,0,0,0,0,0,0,262,0,262
SITE824,348,336,0,-2,0,0,0,0,14,119,246,151,143,0,9,0,29,192,0,105,108,252,104
SITE834,30,237,0,0,0,0,0,0,0,37,118,66,46,0,0,0,0,194,0,0,0,60,13
SITE841,41,62,0,0,0,0,0,0,0,18,48,21,11,0,5,0,0,0,0,0,0,0,103
SITE852,548,569,0,0,0,0,1,3,16,177,415,221,284,0,0,2,20,148,0,269,52,626,52
SITE859,11,206,0,0,0,0,0,0,0,10,63,73,71,0,0,0,0,38,0,0,14,161,18
SITE864,349,328,0,0,0,0,0,0,23,168,220,107,129,30,30,0,19,360,0,62,0,239,-3
SITE913,13,322,0,0,0,0,0,0,0,36,114,118,67,0,0,0,0,66,0,59,41,208,2
SITE923,18,216,0,0,0,0,0,0,0,35,97,67,34,0,1,0,0,72,0,51,15,136,-25
SITE926,382,563,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,945
SITE980,0,127,0,4,0,0,0,0,0,0,42,51,33,0,5,0,0,23,0,0,0,99,9
SITE981,59,813,0,0,0,0,0,0,0,67,302,285,218,0,0,0,0,374,0,140,117,337,21
SITE185,0,0,0,81,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,81
SITE974,0,0,0,62,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,62
