siteid,Country,num_patients_all,perc_patients_ever_severe,perc_patients_never_severe,female,male,other_sex,unknown_other_sex,00to02,03to05,06to11,12to17,18to25,26to49,50to69,70to79,80plus,other_age_group,unknown_other_age_group,american_indian,asian,black,hawaiian_pacific_islander,hispanic_latino,other,white,unknown_other_race
SITE397,France,9827,0.6244021573216648,0.3755978426783352,0.4080594281062379,0.5825786099521726,0.009361961941589498,0.009361961941589498,0.010176045588684237,0.0018316882059631627,0.0031545741324921135,0.004680980970794749,0.013127098809402667,0.1628167294189478,0.3499542077948509,0.18601811336114785,0.258878599776127,0.009361961941589498,0.009361961941589498,0,0,0,0,0,1,0,1
SITE926,Italy,945,0.09417989417989418,0.9058201058201059,0.4042328042328042,0.5957671957671957,0,0,0.0021164021164021165,0.0010582010582010583,0,0,0.005291005291005291,0.033862433862433865,0.2624338624338624,0.2761904761904762,0.41904761904761906,0,0,0,0,0,0,0,1,0,1
SITE824,USA,682,0.6099706744868035,0.39002932551319647,0.5102639296187683,0.49266862170087977,0,-0.002932551319648094,0,0,0,0,0.020527859237536656,0.1744868035190616,0.36070381231671556,0.22140762463343108,0.20967741935483872,0,0.013196480938416423,0,0.04252199413489736,0.28152492668621704,0,0.15395894428152493,0.15835777126099707,0.36950146627565983,0.15249266862170088
SITE561,USA,497,0.3038229376257545,0.6961770623742455,0.45472837022132795,0.5251509054325956,0.02012072434607646,0.02012072434607646,0,0,0,0,0.04024144869215292,0.22535211267605634,0.4225352112676056,0.14084507042253522,0.12072434607645875,0.02012072434607646,0.05030181086519115,0,0.03621730382293763,0.24949698189134809,0,0.3058350100603622,0.0482897384305835,0.3762575452716298,0.03219315895372234
SITE528,France,354,0.7146892655367232,0.2853107344632768,0.4322033898305085,0.5677966101694916,0,0,0.01694915254237288,0,0,0.014124293785310734,0.014124293785310734,0.13559322033898305,0.4152542372881356,0.17231638418079095,0.22598870056497175,0,0.005649717514124294,0,0,0,0,0,1,0,1
SITE607,Spain,2369,0.3828619670747151,0.6171380329252849,0.45251160827353315,0.5474883917264669,0,0,0.004221190375685944,0,0.004643309413254538,0,0.016884761502743775,0.21021528070915999,0.3604896580835796,0.16842549598986914,0.23343182777543267,0,0.0016884761502743773,0,0,0,0,0,0,0,1
SITE209,Italy,1533,0.25701239399869535,0.7429876060013046,0.3287671232876712,0.6712328767123288,0,0,0.010437051532941943,0,0.006523157208088715,0.005870841487279843,0.003913894324853229,0.1141552511415525,0.40117416829745595,0.2609262883235486,0.19504240052185257,0,0.0019569471624266144,0,0,0,0,0,1,0,1
SITE812,Italy,262,0.07633587786259542,0.9236641221374046,0.4770992366412214,0.5229007633587787,0,0,0,0,0,0.003816793893129771,0.003816793893129771,0.05725190839694656,0.27099236641221375,0.29389312977099236,0.3702290076335878,0,0,0,0,0,0,0,1,0,1
SITE599,USA,200,0.52,0.48,0.5,0.5,0,0,0,0,0,0,0,0.265,0.39,0.18,0.125,0,0.04,0,0,0.395,0,0.2,0.125,0.265,0.14
SITE864,USA,677,0.4121122599704579,0.5878877400295421,0.5155096011816839,0.4844903988183161,0,0,0,0,0,0,0.033973412112259974,0.2481536189069424,0.3249630723781389,0.15805022156573117,0.19054652880354506,0.04431314623338257,0.04431314623338257,0,0.028064992614475627,0.5317577548005908,0,0.0915805022156573,0,0.35302806499261447,-0.004431314623338257
SITE711,USA,127,0.3543307086614173,0.6456692913385826,0.5039370078740157,0.49606299212598426,0,0,0,0,0,0,0,0.18110236220472442,0.3779527559055118,0.27559055118110237,0.12598425196850394,0,0.03937007874015748,0,0,0.7637795275590551,0,0,0,0.2125984251968504,0.023622047244094488
SITE116,Singapore,278,0.1223021582733813,0.8776978417266187,0.24820143884892087,0.7517985611510791,0,0,0.02158273381294964,0.01079136690647482,0.02877697841726619,0.0035971223021582736,0.07913669064748201,0.5611510791366906,0.29136690647482016,0,0.0035971223021582736,0,0,0,0.5755395683453237,0,0,0,0.3776978417266187,0.046762589928057555,0.3776978417266187
