ICD,time,Observed,Expected,Observed - Expected,Enrichment,Log2(enrichment),95% Confidence interval,P value (raw),P value (Holm),P value (FDR)
Other disorders of the brain (G93),After admission,1595,691.7019930867103,903.2980069132897,1.3584484307513538,0.4419597991915232,"(0.4, 0.5)",1.3415706184107559e-74,5.6345965973251746e-73,5.6345965973251746e-73
Other symptoms and signs involving cognitive functions and awareness (R41),After admission,2270,1446.985939865888,823.014060134112,1.21642594841696,0.28264849692789673,"(0.2, 0.3)",1.5202731103351286e-40,6.081092441340514e-39,2.12838235446918e-39
Other and unspecified myopathies (G72),After admission,239,14.002808775525695,224.9971912244743,1.7172142770719903,0.7800700726429203,"(0.7, 0.8)",4.206294674037749e-46,1.724580816355477e-44,8.833218815479273e-45
Other cerebrovascular diseases (I67),After admission,157,88.37539688399912,68.62460311600088,1.2367915106117355,0.3066023216907414,"(0.2, 0.4)",4.747316861628635e-5,0.0015666145643374496,1.9938730818840268e-4
Epilepsy and recurrent seizures (G40),After admission,528,462.57708502622444,65.42291497377556,1.0585114880402366,0.08203692702026953,"(0, 0.2)",0.05355927758010871,1,0.10711855516021743
Nontraumatic intracerebral hemorrhage (I61),After admission,92,37.9035426980198,54.0964573019802,1.3618100877158945,0.44552552521927485,"(0.3, 0.6)",6.809534244560875e-6,2.383336985596306e-4,3.5750054783944594e-5
Other and unspecified nontraumatic intracranial hemorrhage (I62),After admission,76,32.49498688878606,43.50501311121394,1.342876489674548,0.425326619785358,"(0.3, 0.6)",8.671646538430805e-5,0.0026882104269135496,3.035076288450782e-4
Other and unspecified myopathies (G72),Before admission,52,17.90237368851849,34.097626311481505,1.4052413471079204,0.4908179314238249,"(0.3, 0.7)",1.5705539946110264e-4,0.004711661983833079,5.074097521051009e-4
Nontraumatic subarachnoid hemorrhage (I60),After admission,56,29.85323741007194,26.14676258992806,1.278793375017899,0.35478317515101077,"(0.1, 0.6)",0.007531858587947879,0.19582832328664487,0.018608121217282995
Disturbances of smell and taste (R43),After admission,201,175.3382084095064,25.661791590493607,1.0603052315980597,0.0844796352826116,"(0, 0.2)",0.22623002936582745,1,0.3276434908056811
"Encephalitis, myelitis and encephalomyelitis (G04)",After admission,42,17.470164097463947,24.529835902536053,1.3706073047868401,0.4548152811178805,"(0.2, 0.7)",0.0030869469648822203,0.08334756805181995,0.008103235782815828
Blindness and low vision (H54),Before admission,159,140.52172293017364,18.478277069826362,1.0533772589972412,0.07502221908898972,"(-0.1, 0.2)",0.3512209200189767,1,0.4338611364940301
Other and unspecified nontraumatic intracranial hemorrhage (I62),Before admission,33,18.747107820453493,14.252892179546507,1.2380696574325996,0.30809248709293974,"(0, 0.6)",0.08034140894416826,1,0.14642405774497627
Vascular syndromes of brain in cerebrovascular disease (G46),Before admission,19,12.247924737133369,6.752075262866631,1.132535530008147,0.17955631134214836,"(-0.1, 0.5)",0.40097807747206304,1,0.4811736929664756
Meningitis due to other and unspecified causes (G03),After admission,10,6.2351578337677385,3.7648421662322615,1.2014254725751472,0.2647471572642384,"(-0.2, 0.8)",0.4449787418445605,1,0.5191418654853206
Inflammatory polyneuropathy (G61),Before admission,12,9.561250881730544,2.438749118269456,1.102106713920063,0.14026392281059546,"(-0.4, 0.7)",0.6602962859496998,1,0.6933111002471848
Other lack of coordination (R27),Before admission,35,34.79555555555555,0.20444444444444798,1.0023954252585008,0.003451735602484246,"(-0.3, 0.3)",1,1,1
Vascular syndromes of brain in cerebrovascular disease (G46),After admission,12,14.289245526655598,-2.2892455266555984,0.940912077552303,-0.08786817661532113,"(-0.6, 0.4)",0.8075191815666187,1,0.8272147713609265
Sequelae of inflammatory and toxic polyneuropathies (G65),Before admission,0,2.354838709677419,-2.354838709677419,0,-Inf,"(-Inf, -Inf)",0.2980769230769303,1,0.391225961538471
Sequelae of inflammatory and toxic polyneuropathies (G65),After admission,0,2.354838709677419,-2.354838709677419,0,-Inf,"(-Inf, -Inf)",0.2980769230769303,1,0.391225961538471
"Encephalitis, myelitis and encephalomyelitis (G04)",Before admission,3,5.823388032487983,-2.8233880324879834,0.6969128113879004,-0.5209499186306157,"(-1.8, 0.7)",0.4838440489644579,1,0.5368716554021471
Inflammatory polyneuropathy (G61),After admission,21,25.098283564542676,-4.098283564542676,0.9182427107959023,-0.12305255630216179,"(-0.6, 0.3)",0.6425094550749745,1,0.691933259311511
Meningitis due to other and unspecified causes (G03),Before admission,4,8.625181950509463,-4.625181950509463,0.6781463661686503,-0.560331407136038,"(-1.6, 0.5)",0.3350902770559072,1,0.426478534434791
Other lack of coordination (R27),After admission,42,49.293703703703706,-7.293703703703706,0.9336274536238137,-0.09908111029390797,"(-0.4, 0.2)",0.48574102155432347,1,0.5368716554021471
Nontraumatic subarachnoid hemorrhage (I60),Before admission,16,28.705035971223023,-12.705035971223023,0.7298170221735671,-0.4543932943089027,"(-1, 0.1)",0.08367089013998644,1,0.14642405774497627
Myositis (M60),After admission,20,34.18362182407127,-14.183621824071267,0.7691445894292869,-0.3786732628323327,"(-0.8, 0.1)",0.09543680253309629,1,0.15602259611854588
Myositis (M60),Before admission,15,30.081587205182714,-15.081587205182714,0.7015649756330109,-0.5113513692567133,"(-1.1, 0)",0.044386224455945825,1,0.09321107135748624
Disturbances of smell and taste (R43),Before admission,6,25.411334552102378,-19.411334552102378,0.41218479253743745,-1.2786368169280706,"(-2.3, -0.3)",0.0010869493283187867,0.030434581192926028,0.0030434581192926025
Nontraumatic intracerebral hemorrhage (I61),Before admission,31,52.57588180693069,-21.57588180693069,0.7610696713447727,-0.3938995650708853,"(-0.8, 0)",0.02599027141362266,0.6237665139269438,0.057452178914323776
Other cerebrovascular diseases (I67),Before admission,124,146.85911541017498,-22.85911541017498,0.9252589720691378,-0.11207087474079794,"(-0.3, 0.1)",0.21136235776966297,1,0.3170435366544945
Other headache syndromes (G44),Before admission,61,83.9860465116279,-22.986046511627904,0.8582926878224042,-0.22045838741422394,"(-0.5, 0)",0.07243652947362739,1,0.13828791990419775
Transient cerebral ischemic attacks and related syndromes (G45),Before admission,82,106.35161808583888,-24.35161808583888,0.8856697461243372,-0.17515925665948143,"(-0.4, 0)",0.09658541664481411,1,0.15602259611854588
Other disorders of the brain (G93),Before admission,365,403.81848937265573,-38.81848937265573,0.9549231482015249,-0.06654346453474311,"(-0.2, 0)",0.1951857048875763,1,0.3036222076028965
Unspecified psychosis not due to a substance or known physiological condition (F29),Before admission,26,72,-46,0.5789888759754276,-0.7883924646853785,"(-1.2, -0.3)",1.7927616652540045e-5,6.095389661863616e-4,8.366221104518689e-5
Other symptoms and signs involving cognitive functions and awareness (R41),Before admission,943,996.7270170884707,-53.72701708847069,0.9742865069899953,-0.03758200899430163,"(-0.1, 0)",0.24033070673329807,1,0.3364629894266173
Epilepsy and recurrent seizures (G40),Before admission,303,374.6678542269725,-71.66785422697251,0.9054962508501443,-0.14321942708696267,"(-0.3, 0)",0.010385237921799325,0.2596309480449831,0.02423222181753176
Blindness and low vision (H54),After admission,107,179.9203368358298,-72.9203368358298,0.7710482032352621,-0.37510703968266473,"(-0.6, -0.2)",5.330199425793072e-5,0.001705663816253783,2.0351670534846274e-4
